id_operacion;ubicacion;SOA;operador1;operador2;operacion;resultado;id_participantes;id_bloque;correctas_deteccion;correctas_operacion;TR_deteccion;acarreo
72;Derecha;750;62;24;Suma;72;0d032;Bloque 1;1;1;1015;No
367;Derecha;750;93;27;Resta;66;0d032;Bloque 1;1;1;2287;No
244;Izquierda;750;85;23;Resta;62;0d032;Bloque 1;1;0;592;Si
77;Derecha;300;63;32;Suma;67;0d032;Bloque 1;1;1;836;Si
227;Derecha;300;75;34;Resta;41;0d032;Bloque 1;1;0;602;Si
40;Derecha;300;48;21;Suma;69;0d032;Bloque 1;1;1;439;No
258;Derecha;1250;89;25;Resta;64;0d032;Bloque 1;1;0;873;No
238;Derecha;750;83;31;Resta;52;0d032;Bloque 1;1;1;1909;Si
211;Izquierda;300;68;24;Resta;62;0d032;Bloque 1;1;1;3720;Si
337;Derecha;300;82;49;Resta;33;0d032;Bloque 1;1;1;556;Si
35;Izquierda;1250;45;31;Suma;90;0d032;Bloque 1;1;1;602;Si
140;Izquierda;750;48;36;Suma;84;0d032;Bloque 1;1;1;2958;Si
111;Izquierda;1250;38;25;Suma;63;0d032;Bloque 1;1;1;1247;No
261;Derecha;750;89;36;Resta;37;0d032;Bloque 1;1;1;741;No
239;Izquierda;750;83;32;Resta;61;0d032;Bloque 1;1;1;1182;Si
332;Izquierda;1250;82;27;Resta;55;0d032;Bloque 1;1;1;529;No
300;Derecha;1250;63;26;Resta;44;0d032;Bloque 1;1;1;481;No
181;Derecha;300;65;28;Suma;93;0d032;Bloque 1;1;1;930;No
16;Derecha;750;37;21;Suma;58;0d032;Bloque 1;1;1;1858;No
188;Derecha;1250;68;29;Suma;137;0d032;Bloque 1;1;1;391;No
347;Izquierda;1250;85;38;Resta;47;0d032;Bloque 1;1;0;738;No
121;Izquierda;1250;43;29;Suma;61;0d032;Bloque 1;1;1;917;No
56;Derecha;750;53;45;Suma;98;0d032;Bloque 1;1;1;465;No
254;Derecha;750;87;35;Resta;52;0d032;Bloque 1;1;1;650;Si
326;Izquierda;750;75;29;Resta;39;0d032;Bloque 1;1;1;422;No
147;Derecha;300;49;34;Suma;59;0d032;Bloque 1;1;1;1587;No
155;Izquierda;750;53;39;Suma;65;0d032;Bloque 1;1;1;556;No
95;Derecha;300;75;23;Suma;117;0d032;Bloque 1;1;1;865;No
250;Izquierda;300;87;21;Resta;66;0d032;Bloque 1;1;1;651;Si
179;Izquierda;300;64;28;Suma;92;0d032;Bloque 1;1;1;778;Si
160;Derecha;300;57;28;Suma;85;0d032;Bloque 1;1;1;1496;No
68;Izquierda;1250;61;34;Suma;113;0d032;Bloque 1;1;1;593;Si
39;Izquierda;1250;47;32;Suma;79;0d032;Bloque 1;1;1;501;No
358;Izquierda;300;91;39;Resta;52;0d032;Bloque 1;1;1;634;Si
51;Derecha;1250;53;21;Suma;74;0d032;Bloque 1;1;1;1184;No
338;Derecha;300;83;29;Resta;54;0d032;Bloque 1;1;1;488;Si
240;Izquierda;300;83;41;Resta;50;264a3;Bloque 1;1;1;419;Si
55;Derecha;1250;53;41;Suma;94;264a3;Bloque 1;1;1;318;No
214;Izquierda;750;69;24;Resta;64;264a3;Bloque 1;1;1;310;Si
95;Derecha;300;75;23;Suma;117;264a3;Bloque 1;1;1;371;No
343;Derecha;1250;84;29;Resta;78;264a3;Bloque 1;1;1;414;Si
314;Derecha;300;72;28;Resta;44;264a3;Bloque 1;1;1;428;Si
65;Izquierda;1250;57;41;Suma;69;264a3;Bloque 1;1;1;426;Si
266;Izquierda;300;89;48;Resta;41;264a3;Bloque 1;1;1;483;No
380;Izquierda;750;96;29;Resta;80;264a3;Bloque 1;1;1;395;No
175;Derecha;750;62;29;Suma;91;264a3;Bloque 1;1;1;357;Si
282;Izquierda;300;96;45;Resta;51;264a3;Bloque 1;1;1;426;Si
39;Derecha;750;47;32;Suma;79;264a3;Bloque 1;1;1;365;No
378;Izquierda;750;95;39;Resta;56;264a3;Bloque 1;1;1;352;Si
383;Izquierda;750;97;28;Resta;69;264a3;Bloque 1;1;1;570;No
368;Derecha;750;93;36;Resta;40;264a3;Bloque 1;1;1;1171;Si
167;Izquierda;1250;58;36;Suma;94;264a3;Bloque 1;1;1;533;Si
128;Izquierda;750;45;36;Suma;68;264a3;Bloque 1;1;1;544;Si
127;Derecha;300;45;29;Suma;74;264a3;Bloque 1;1;1;378;Si
168;Derecha;1250;59;23;Suma;58;264a3;Bloque 1;1;1;525;Si
98;Derecha;300;34;28;Suma;52;264a3;Bloque 1;1;1;359;No
237;Izquierda;300;82;31;Resta;51;264a3;Bloque 1;1;1;444;Si
246;Derecha;1250;85;42;Resta;43;264a3;Bloque 1;1;1;340;No
23;Derecha;300;42;25;Suma;56;264a3;Bloque 1;1;1;411;Si
157;Derecha;750;56;35;Suma;64;264a3;Bloque 1;1;1;432;Si
141;Izquierda;300;48;37;Suma;60;264a3;Bloque 1;1;1;457;Si
150;Derecha;300;52;29;Suma;68;264a3;Bloque 1;1;1;398;No
373;Derecha;1250;94;35;Resta;70;264a3;Bloque 1;1;1;470;No
140;Derecha;750;48;36;Suma;84;264a3;Bloque 1;1;1;400;Si
358;Izquierda;750;91;39;Resta;52;264a3;Bloque 1;1;0;572;Si
